num,store,address,review,score
119,연리지가든,제주특별자치도 제주시 한경면 두조로 190-20 다동 1층,45,3.5
120,판포어촌계직영 펜션식당,제주특별자치도 제주시 한경면 일주서로 4542 1층,5,5
121,포포우동,제주특별자치도 제주시 한경면 판조로 47-1,6,1
122,박김식당,제주특별자치도 서귀포시 대정읍 영락중동로 30 1층,14,4.4
123,조수리순이네집밥,제주특별자치도 제주시 한경면 불그못로 79 1층,15,5
124,농업회사법인 제주옹기마을,제주특별자치도 제주시 한경면 신정로 514,0,0
125,제주탐나도다,제주특별자치도 제주시 한경면 두조로 260 1층,2,5
126,신스버거,제주특별자치도 제주시 한림읍 월령2길 2 1층,31,4
127,선인장식당,제주특별자치도 제주시 한림읍 월령안길 14-3,26,4.2
128,월령작야달의객잔,제주특별자치도 제주시 한림읍 월령3길 39-5 푸르다오션펜션 1층,0,0
129,아꼬운디,제주특별자치도 제주시 한림읍 월령3길 27-2 1층,33,4.3
130,월령작야,제주특별자치도 제주시 한림읍 월령3길 39-5 지하1층,0,0
131,일출식당,제주특별자치도 제주시 한림읍 월령안길 5-7,0,0
132,제주해물한끼,제주특별자치도 제주시 한림읍 한림로 16-3 1층,1,4
133,제주어감곽,제주특별자치도 제주시 한림읍 한림로 33 리벤시아 호텔&풀빌라 1층,0,0
134,블루하와이 구내,제주특별자치도 제주시 한림읍 한림로 77,0,0
135,동수식당,제주특별자치도 서귀포시 대정읍 일과대수로27번길 16-2,1,5
136,대정새미식당,제주특별자치도 서귀포시 대정읍 일주서로3000번길 139,0,0
137,다랑꽃,제주특별자치도 서귀포시 대정읍 일주서로3000번길 137-19,0,0
138,새미골,제주특별자치도 서귀포시 대정읍 일주서로3000번길 139,0,0
139,반양,제주특별자치도 서귀포시 대정읍 중산간서로 2985,63,4.5
140,황금륭버거,제주특별자치도 서귀포시 대정읍 칠전로 434,21,2.6
141,데미안,제주특별자치도 제주시 한경면 고조로 492-15 1층,153,4.6
142,밀크홀,제주특별자치도 제주시 한경면 판조로 428,15,4.1
143,아일랜드오아시스,제주특별자치도 제주시 한경면 홍수암로 555 1층,8,3.8
144,서플라이 죠지,제주특별자치도 제주시 한경면 홍수암로 560 가동 1층,16,4.7
145,백년가약식당,제주특별자치도 제주시 한경면 낙수로 41,6,4.8
146,정식,제주특별자치도 제주시 한경면 낙수로 21,5,3.8
147,오부자돈항아리 조수점,제주특별자치도 제주시 한경면 홍수암로 566 1층,6,4.8
148,수리코,제주특별자치도 제주시 한경면 조수설목1길 8,16,4.4
149,안녕협재씨 제주협재점,제주특별자치도 제주시 한림읍 금능길 12 1층,223,4
150,싱싱잇,제주특별자치도 제주시 한림읍 한림로 181 1층,80,2.5
151,제갈양,제주특별자치도 제주시 한림읍 한림로 155,396,4.5
152,피어22,제주특별자치도 제주시 한림읍 금능7길 22 금능리어촌계복지회관 1층,45,3.8
153,금능낙원,제주특별자치도 제주시 한림읍 금능길 27,43,4
154,금능제면소,제주특별자치도 제주시 한림읍 금능길 47 1층,43,4
155,봉덕뜨락,제주특별자치도 제주시 한림읍 한림로 121-3,64,4.6
156,비양도식당,제주특별자치도 제주시 한림읍 한림로 167,56,4.5
157,드링콩,제주특별자치도 제주시 한림읍 한림로 158 1층,30,4.9
158,수르르,제주특별자치도 제주시 한림읍 금능5길 26 1층,62,4.8
159,고향역,제주특별자치도 제주시 한림읍 배령연대로 35 1층,33,4.4
160,크리스피201,제주특별자치도 제주시 한림읍 한림로 201,18,4.9
161,이큐테이블,제주특별자치도 제주시 한림읍 금능남1길 6-1 이큐스테이 호텔 1층,2,3
162,금능상회해물라면,제주특별자치도 제주시 한림읍 금능5길 21 2층,3,3.3
163,맹순이네,제주특별자치도 제주시 한림읍 금능1길 7,3,3.7
164,하바나미역,제주특별자치도 제주시 한림읍 금능길 60 1층,9,4.6
165,큰원담,제주특별자치도 제주시 한림읍 금능길 64,0,0
166,금능고깃집,제주특별자치도 제주시 한림읍 금능1길 2-2 1층,4,4
167,일성흑돼지촌,제주특별자치도 제주시 한림읍 한림로 127 141호,0,0
168,투존치킨 제주협재점,제주특별자치도 제주시 한림읍 한림로 127,0,0
169,석굴원식당,제주특별자치도 제주시 한림읍 한림로 176,1,5
170,금능포구횟집,제주특별자치도 제주시 한림읍 금능9길 27,17,3
171,금능반지하,제주특별자치도 제주시 한림읍 금능9길 30 1층,59,4.2
172,인섬,제주특별자치도 제주시 한림읍 비양도길 12-6,4,5
173,고사리2020,제주특별자치도 제주시 한림읍 비양도길 10-6 1층,29,5
174,인섬스토리,제주특별자치도 제주시 한림읍 비양도길 29 1층,8,4.5
175,천년의섬,제주특별자치도 제주시 한림읍 비양도길 8,6,4.3
176,보말이야기,제주특별자치도 제주시 한림읍 비양도길 27 1층,17,4.3
177,백연향,제주특별자치도 제주시 한림읍 비양도길 14-3 1층,0,0
178,제주초계한우,제주특별자치도 서귀포시 대정읍 일과대수로27번길 53-2,20,3.7
179,소곰밭원담,제주특별자치도 서귀포시 대정읍 동일하모로 37,1,5
180,옵데강음식점,제주특별자치도 서귀포시 대정읍 중산간서로 2863,1,1
181,청개구리식당,제주특별자치도 서귀포시 대정읍 칠전로 528-6,4,4.5
182,웃뜨르우리돼지,제주특별자치도 제주시 한경면 연명로 2,57,4.1
183,스시회관,제주특별자치도 제주시 한경면 연명로 8,17,4.1
184,너와바베큐,제주특별자치도 제주시 한경면 산양4길 38,7,4.9
185,제주애잍at,제주특별자치도 제주시 한경면 산양4길 27-2,0,0
186,농부와돌집,제주특별자치도 제주시 한경면 중산간서로 3285,8,4.4
187,제주돗,제주특별자치도 제주시 한경면 조수2길 34,67,4.1
188,한양동식당뷔페,제주특별자치도 제주시 한경면 용금로 501,12,4.4
189,남문숯불바베큐치킨 조수점,제주특별자치도 제주시 한경면 용금로 516,3,5
190,파라토도스,제주특별자치도 제주시 한림읍 금능길 87,83,3.7
191,금능샌드,제주특별자치도 제주시 한림읍 금능길 89 1층,78,4.3
192,금능해장국,제주특별자치도 제주시 한림읍 금능길 85,65,4.5
193,성아시,제주특별자치도 제주시 한림읍 금능길 68 1층,27,3
194,제주밥상살레,제주특별자치도 제주시 한림읍 금능4길 14-1 1층,15,4.2
195,협재섬바다,제주특별자치도 제주시 한림읍 금능남로 53,41,3.7
196,금능자갈,제주특별자치도 제주시 한림읍 한림로 228,39,3.7
197,섬고래,제주특별자치도 제주시 한림읍 금능길 65 1층,52,4.7
198,둘레길 협재금능점,제주특별자치도 제주시 한림읍 금능길 79 1층,6,4.3
199,마크사이공 제주,제주특별자치도 제주시 한림읍 금능길 79 1층 102호,12,4.8
200,착한집석쇠구이,제주특별자치도 제주시 한림읍 금능남로 53,5,4.6
201,금능식당,제주특별자치도 제주시 한림읍 한림로 224,12,4.3
202,삼대국수회관 협재점,제주특별자치도 제주시 한림읍 금능남로 51 1층,1,5
203,금능길,제주특별자치도 제주시 한림읍 금능길 92,17,1.2
204,정이가네 한림점,제주특별자치도 제주시 한림읍 금능길 77,0,0
205,흴소,제주특별자치도 제주시 한림읍 금능6길 11 나동 1층,0,0
206,금해가든,제주특별자치도 제주시 한림읍 한림로 247,0,0
207,엘케이식당,제주특별자치도 제주시 한림읍 한림로 245-5,0,0
208,바당어부,제주특별자치도 제주시 한림읍 금능남1길 10-21 1층,0,0
209,Meat the Fish,제주특별자치도 제주시 한림읍 금능길 81-1,0,0
210,제주바다해찬,제주특별자치도 제주시 한림읍 한림로 326,122,4.2
211,협재삼춘네횟집,제주특별자치도 제주시 한림읍 한림로 318 1층,63,4.2
212,감성돈 제주협재점,제주특별자치도 제주시 한림읍 한림로 329-2 1층,55,4.5
213,더시즈닝 제주협재점,제주특별자치도 제주시 한림읍 한림로 328 1층,27,3.7
214,맘스터치 협재점,제주특별자치도 제주시 한림읍 한림로 322,26,2.5
215,돌갱이네집,제주특별자치도 제주시 한림읍 한림로 329-6,41,4
216,슈퍼보틀 협재그루브점,제주특별자치도 제주시 한림읍 한림로 333 GROOV 1층,0,0
217,드링킹타이거,제주특별자치도 제주시 한림읍 한림로 328,5,3.8
218,핫도그팟,제주특별자치도 제주시 한림읍 한림로 329-2,8,5
219,모살밭회관,제주특별자치도 제주시 한림읍 금능길 119-10,0,0
220,호돌이식당,제주특별자치도 제주시 한림읍 비양도길 284,52,3.9
221,민경이네,제주특별자치도 제주시 한림읍 비양도길 275,3,4.7
222,미영이네식당,제주특별자치도 서귀포시 대정읍 하모항구로 42,336,4.3
223,옥돔식당,제주특별자치도 서귀포시 대정읍 신영로36번길 62,64,3.5
224,만선식당,제주특별자치도 서귀포시 대정읍 하모항구로 44,105,4
225,돈방석식당,제주특별자치도 서귀포시 대정읍 하모항구로 22-13,45,4.2
226,미풍해장국 모슬포점,제주특별자치도 서귀포시 대정읍 신영로36번길 35,18,4.1
227,오일장반점,제주특별자치도 서귀포시 대정읍 신영로36번길 37,30,4.1
228,트라몬토 모슬포본점,제주특별자치도 서귀포시 대정읍 하모항구로 38,21,3.4
229,성신식당,제주특별자치도 서귀포시 대정읍 하모항구로 22-9,15,5
230,동수네횟집수산,제주특별자치도 서귀포시 대정읍 하모항구로 48,9,3.6
231,푸줏간쌀롱,제주특별자치도 서귀포시 대정읍 신영로36번길 47 1층,13,5
232,호정이네,제주특별자치도 서귀포시 대정읍 하모항구로 22-11 1층,46,4.3
233,모슬포자연산회센타,제주특별자치도 서귀포시 대정읍 신영로36번길 48-7,2,3
234,모슬포어멍,제주특별자치도 서귀포시 대정읍 신영로36번길 45,0,0
235,머들집,제주특별자치도 서귀포시 대정읍 신영로36번길 41 1층,0,0
236,수애기베이커리카페,제주특별자치도 서귀포시 대정읍 동일하모로98번길 48-59 1층,66,4
237,피그농원 제주점,제주특별자치도 서귀포시 대정읍 일주서로 2641,19,3.4
238,장가네일품순두부 모슬포점,제주특별자치도 서귀포시 대정읍 신영로 59 1층,5,1.6
239,최고야보리밥정식,제주특별자치도 서귀포시 대정읍 신영로36번길 69-3,10,4.2
240,소림마라 모슬포점,제주특별자치도 서귀포시 대정읍 동일하모로 169,3,2.3
241,대정하모떡집,제주특별자치도 서귀포시 대정읍 동일하모로149번길 26,4,5
242,장도감낭만족발,제주특별자치도 서귀포시 대정읍 동일하모로149번길 5,7,5
243,뚜레쥬르 제주모슬포점,제주특별자치도 서귀포시 대정읍 일주서로 2641,1,5
244,통큰코다리 모슬포점,제주특별자치도 서귀포시 대정읍 신영로 68-6,3,4.7
245,불닭공장 모슬포점,제주특별자치도 서귀포시 대정읍 신영로 54-1,2,5
246,안녕모슬포,제주특별자치도 서귀포시 대정읍 신영로 61,9,4.1
247,수정식당,제주특별자치도 서귀포시 대정읍 신영로37번길 1,1,5
248,배떡 모슬포점,제주특별자치도 서귀포시 대정읍 신영로36번길 69-6 1층,1,5
249,해장쿡 모슬포점,제주특별자치도 서귀포시 대정읍 동일하모로 169,0,0
250,작은식당,제주특별자치도 서귀포시 대정읍 신영로36번길 69-1,4,4.8
251,다돈식당,제주특별자치도 서귀포시 대정읍 신영로 58,0,0
252,설구막창 모슬포점,제주특별자치도 서귀포시 대정읍 동일하모로149번길 5,0,0
253,동일리어멍식당,제주특별자치도 서귀포시 대정읍 동일하모로 111-1,0,0
254,한라전복(본점),제주특별자치도 서귀포시 대정읍 대한로 33 1층,108,3.9
255,마농밭,제주특별자치도 서귀포시 대정읍 암반수마농로 8,4,4
256,강셰프의키친,제주특별자치도 서귀포시 대정읍 대한로 558,79,4.7
257,소풍올레,제주특별자치도 서귀포시 대정읍 중산간서로 2816,2,4.5
258,꼬떼웨스트,제주특별자치도 제주시 한경면 대한로 800-2,2,5
259,패스더솔트,제주특별자치도 제주시 한경면 청수로 82-10 1층,0,0
260,청수미방,제주특별자치도 제주시 한경면 낙수로 271-18 1층,25,4.2
261,비냐스테,제주특별자치도 제주시 한경면 낙수로 275 102호,0,0
262,파리바게뜨 제주공장,제주특별자치도 제주시 한림읍 금능농공길 62-8,0,0
263,제주돈오리 협재점,제주특별자치도 제주시 한림읍 협재로 210-20 1층,0,0
264,빨강소,제주특별자치도 제주시 한림읍 금능남로 127 라온프라이빗타운 601동 3층 302호,0,0
265,투애니원마카롱,제주특별자치도 제주시 한림읍 협재로 114 B동 1층,8,5
266,한림공원 돌하르방식당,제주특별자치도 제주시 한림읍 한림로 300,3,4
267,코사5043,제주특별자치도 제주시 한림읍 일주서로 5043 1층,1,5
268,돼지굽는정원,제주특별자치도 제주시 한림읍 협재2길 8-7 1층,34,3.2
269,착한스시,제주특별자치도 제주시 한림읍 협재2길 18 갤러리12 1층,30,4.4
270,협재돈대장,제주특별자치도 제주시 한림읍 협재2길 8-4 1층,7,2.9
271,술시,제주특별자치도 제주시 한림읍 협재2길 12 1층,21,4.2
272,통큰코다리,제주특별자치도 제주시 한림읍 협재2길 10-1,23,4.8
273,협재술시,제주특별자치도 제주시 한림읍 협재2길 12 1층,0,0
274,붐바펍,제주특별자치도 제주시 한림읍 협재2길 10-1 2층,4,5
275,허기지면 (휴업중),제주특별자치도 제주시 한림읍 협재2길 12 1층 b호,13,4.8
276,협재일공일,제주특별자치도 제주시 한림읍 협재2길 10-1 2층,0,0
277,야심만찬 한림점,제주특별자치도 제주시 한림읍 협재2길 26-3,0,0
278,담다,제주특별자치도 제주시 한림읍 협재4길 8 1층,49,3.8
279,협재화덕 도나토스 DONATO'S,제주특별자치도 제주시 한림읍 협재2길 6,0,0
280,협재해물라면 쪼꼴락상회,제주특별자치도 제주시 한림읍 협재4길 9,97,3.7
281,제주광어천국,제주특별자치도 제주시 한림읍 한림로 332-1 1층,0,0
282,버거307 협재점,제주특별자치도 제주시 한림읍 한림로 330 블루스프링호텔상가 1층,27,3.9
283,재암식당,제주특별자치도 제주시 한림읍 한림로 346 1층,30,3.3
284,협재리브와일드바앤키친,제주특별자치도 제주시 한림읍 협재4길 7-8,50,4
285,은희네흑돼지,제주특별자치도 제주시 한림읍 한림로 354 1층,9,3.7
286,바다멍,제주특별자치도 제주시 한림읍 한림로 335 D동 2층,7,3.6
