num,store,address,review,score,
55,다니엘작은도서관,제주특별자치도 제주시 애월읍 구엄길 1 2층,0,0,
56,장전리새마을작은도서관,제주특별자치도 제주시 애월읍 장전로 106,2,0,
57,예래새마을작은도서관,제주특별자치도 서귀포시 열리로 80 예래새마을금고 4층,0,0,
58,수산리새마을작은도서관,제주특별자치도 제주시 애월읍 하소로 157,0,0,
59,예원새마을작은도서관,제주특별자치도 제주시 애월읍 예원로 95,0,0,
60,수산리문고,제주특별자치도 제주시 애월읍 하소로 157,0,0,
61,유수암청소년공부방,제주특별자치도 제주시 애월읍 유수암로 16,0,0,
62,유수암리새마을작은도서관,제주특별자치도 제주시 애월읍 유수암로 16,0,0,
63,그레이스영어작은도서관,제주특별자치도 서귀포시 천제연로 103-15 3층,1,5,
64,색달새마을문고,제주특별자치도 서귀포시 색달로72번길 2,0,0,
65,고성1리새마을작은도서관,제주특별자치도 제주시 애월읍 광성로 61-1,0,0,
66,하귀1리새마을작은도서관,제주특별자치도 제주시 애월읍 하귀10길 5,0,0,
67,하귀휴먼시아1단지새마을작은도서관,제주특별자치도 제주시 애월읍 하귀9길 45,0,0,
68,외도아름새마을작은도서관,제주특별자치도 제주시 우정로18길 25,0,0,
69,서부도서관,제주특별자치도 서귀포시 중문관광로 346,4,2.8,
70,푸른새마을작은도서관,제주특별자치도 서귀포시 천제연로 239 중문푸른마을주공아파트 관리동,0,0,
71,광령1리새마을작은도서관,제주특별자치도 제주시 애월읍 광성로 298-1,0,0,
72,외도1차부영새마을작은도서관,제주특별자치도 제주시 우정로11길 22,0,0,
73,외도2차부영새마을작은도서관,제주특별자치도 제주시 우평로 318 부영아파트 관리동2층,0,0,
74,꼬마도서관,제주특별자치도 제주시 연동 297-1,0,0,
75,회수새마을작은도서관,제주특별자치도 서귀포시 중산간서로 654 회수마을회관,0,0,
76,하원애향새마을작은도서관,제주특별자치도 서귀포시 하원로19번길 20-6 하원복지회관 3층,0,0,
77,월산새마을문고,제주특별자치도 제주시 월산남길 5,0,0,
78,제주특별자치도작은도서관협회,제주특별자치도 제주시 월광로 37 지하1층,0,0,
79,오도새마을작은도서관,제주특별자치도 제주시 오도길 31,0,0,
80,제주서부방음도서관,제주특별자치도 제주시 도공로 54,0,0,
81,도두1동새마을작은도서관,제주특별자치도 제주시 도두1길 9-1,0,0,
82,도두1동새마을문고,제주특별자치도 제주시 도두1길 13,0,0,
83,도순새마을 작은도서관,제주특별자치도 서귀포시 도순남로 11,0,0,
84,제주시탐라도서관,제주특별자치도 제주시 정원로 50,28,3.7,
85,혜낭도서관,제주특별자치도 제주시 노형1길 28,0,0,
86,노형꿈틀작은도서관,제주특별자치도 제주시 노형로 351 2층,1,0,
87,뜨란채새마을작은도서관,제주특별자치도 제주시 수덕로 44,0,5,
88,정든새마을작은도서관,제주특별자치도 제주시 정존11길 68 정든마을 복지동 1F,0,0,
89,바오밥작은도서관,제주특별자치도 제주시 정존15길 33 3층,0,0,
90,탐라스마트도서관,제주특별자치도 제주시 월랑로 91,0,0,
91,캠코브러리 32호점,제주특별자치도 제주시 월랑북길 30-5,0,0,
92,꿈자람책방,제주특별자치도 제주시 월랑로 91 2층,0,0,
93,용흥새마을문고,제주특별자치도 서귀포시 용흥로 67 용흥복지회관 2층,0,0,
94,용흥작은도서관,제주특별자치도 서귀포시 용흥로 55 2층,0,0,
