num,store,address,review,score,
124,월랑초등학교,제주특별자치도 제주시 남녕로 63,1,3,
125,월랑초등학교 병설유치원,제주특별자치도 제주시 남녕로 63,0,0,
126,한라초등학교,제주특별자치도 제주시 연화로 42,0,3.4,
127,한라중학교,제주특별자치도 제주시 과원북2길 24,0,2.4,
128,제주고등학교,제주특별자치도 제주시 1100로 3213,2,5,
129,남녕고등학교,제주특별자치도 제주시 도령로 55,2,4,
130,제주서중학교,제주특별자치도 제주시 일주서로 7811,2,3.7,
131,신광초등학교,제주특별자치도 제주시 성신로 25,1,0,
132,신광초등학교 병설유치원,제주특별자치도 제주시 성신로 25,0,0,
133,제주 그레이스 아카데미,제주특별자치도 서귀포시 엉또로 109,0,5,
134,신제주불교대학 보리왓,제주특별자치도 제주시 과원로 84 4층,0,5,
135,신제주초등학교,제주특별자치도 제주시 비월길 29,1,5,
136,제원직업전문학교,제주특별자치도 제주시 노연로 119 장주빌딩 3,4층,14,0
137,법환초등학교,제주특별자치도 서귀포시 이어도로 879,0,5,
138,법환초등학교 병설유치원,제주특별자치도 서귀포시 이어도로 879,0,0,
139,서귀포대신중학교,제주특별자치도 서귀포시 신중로13번길 15,2,5,
140,제주중앙중학교,제주특별자치도 제주시 선덕로5길 37,1,3,
141,제주대학교사범대학 부설고등학교,제주특별자치도 제주시 용담로 65,1,5,
142,제주대학교사범대학부설중학교,제주특별자치도 제주시 용담로7길 33,0,3,
143,지진실내구호소 서초등학교,제주특별자치도 제주시 성화로6길 51,0,0,
144,법환좀녀마을해녀학교,제주특별자치도 서귀포시 법환로 1,1,0,
145,새서귀초등학교,제주특별자치도 서귀포시 신서귀로76번길 6-3,1,0,
146,오라초등학교,제주특별자치도 제주시 연사길 48,3,5,
147,오라초등학교 병설유치원,제주특별자치도 제주시 연사길 48,0,0,
148,제주중앙초등학교,제주특별자치도 제주시 서사로18길 40,0,5,
149,한천초등학교,제주특별자치도 제주시 남성로11길 22,0,0,
150,법화불교대학,제주특별자치도 제주시 남성로3길 7,0,0,
151,제주중앙초등학교병설유치원,제주특별자치도 제주시 서사로18길 40,0,5,
152,한천초등학교 병설유치원,제주특별자치도 제주시 남성로11길 22,0,0,
153,지진실내구호소 중앙초등학교,제주특별자치도 제주시 서사로18길 40,0,0,
154,제주서초등학교,제주특별자치도 제주시 성화로6길 51,0,0,
155,제주중학교,제주특별자치도 제주시 서문로 47,0,5,
156,청소년혼디학교,제주특별자치도 제주시 서문로 35-1,0,0,
157,제주서초등학교 병설유치원,제주특별자치도 제주시 성화로6길 51,2,0,
158,서호초등학교,제주특별자치도 서귀포시 호근남로 40,0,5,
159,서호초등학교 병설유치원,제주특별자치도 서귀포시 호근남로 40,0,0,
160,도남초등학교,제주특별자치도 제주시 도남로8길 22,0,0,
161,도남초등학교 병설유치원,제주특별자치도 제주시 도남로8길 22,0,0,
162,제주중앙여자중학교,제주특별자치도 제주시 서사로11길 8,1,0,
163,삼성초등학교,제주특별자치도 제주시 서광로29길 35,0,3.7,
164,광양초등학교,제주특별자치도 제주시 돈내길 5,0,0,
165,일도초등학교,제주특별자치도 제주시 삼성로9길 27,0,5,
166,동려평생학교,제주특별자치도 제주시 광양4길 30-1,0,0,
167,삼성초등학교 병설유치원,제주특별자치도 제주시 서광로29길 35,0,0,
168,일도초등학교 병설유치원,제주특별자치도 제주시 삼성로9길 27,0,0,
169,제주남초등학교 병설유치원,제주특별자치도 제주시 남성로 149,0,0,
170,광양초등학교 병설유치원,제주특별자치도 제주시 돈내길 5,0,0,
171,한국경영기술개발원부설제주직업전문학원,제주특별자치도 제주시 서사로 81,0,1,
172,제주남초등학교,제주특별자치도 제주시 남성로 149,0,0,
173,제주북초등학교,제주특별자치도 제주시 중앙로8길 18,0,5,
174,제주북초등학교 병설유치원,제주특별자치도 제주시 중앙로8길 18,0,0,
