"name","address","review","score"
"제주예업사","제주특별자치도 제주시 관덕로15길 6 1층",0,0.0
"석부작박물관 실내전시관","제주특별자치도 서귀포시 호근동 532",1,0.0
"BMW모토라드 제주전시장","제주특별자치도 제주시 승천로 16",0,0.0
"제주교육박물관 제주어전시관","제주특별자치도 제주시 오복4길 25",0,0.0
"제주특별자치도 민속자연사박물관 제주바다전시관","제주특별자치도 제주시 삼성로 40",5,4.5
"제주통일관","제주특별자치도 제주시 삼성로 46",2,0.0
"갤러리K","제주특별자치도 제주시 청귤로3길 6",0,0.0
"제주별빛누리공원 전시관","제주특별자치도 제주시 선돌목동길 60",0,0.0
"칠머리당 영등굿전수관","제주특별자치도 제주시 사라봉동길 58",2,0.0
"국립제주박물관 복합문화전시관","제주특별자치도 제주시 일주동로 17",0,5.0
"서귀포관광극장","제주특별자치도 서귀포시 이중섭로 25",3,4.0
"시작공간비호","제주특별자치도 서귀포시 서문로41번길 22-4",0,0.0
"제주특별자치도 인재개발원 사료관","제주특별자치도 제주시 산천단동길 26 2층",0,0.0
"서복전시관","제주특별자치도 서귀포시 칠십리로 156-8",29,3.1
"번개과학체험관 (휴관중)","제주특별자치도 서귀포시 토평공단로 78-27",2,2.7
"제주삼양동유적 전시관","제주특별자치도 제주시 선사로2길 13",2,0.0
"제주한란전시관","제주특별자치도 서귀포시 돈내코로67번길 19",8,4.0
"감귤박물관 세계감귤전시관","제주특별자치도 서귀포시 효돈순환로 441",0,5.0
"제주농업생태원 감귤품종전시실","제주특별자치도 서귀포시 남원읍 하례리 1606",0,0.0
"제주돌문화공원 항아리야외전시장","제주특별자치도 제주시 조천읍 교래리 산 117",1,0.0
"오백장군갤러리","제주특별자치도 제주시 조천읍 남조로 2023",5,0.0
"선녀와나무꾼 테마공원 닥종이인형전","제주특별자치도 제주시 조천읍 선교로 267",0,0.0
"선녀와나무꾼 테마공원 추억의사진전","제주특별자치도 제주시 조천읍 선교로 267",0,0.0
"선녀와나무꾼 테마공원 달동네마을","제주특별자치도 제주시 조천읍 선교로 267",1,0.0
"캐릭파크","제주특별자치도 제주시 조천읍 선교로 264",20,1.8
"선녀와나무꾼테마공원 인쇄소전시관","제주특별자치도 제주시 조천읍 선교로 267",0,0.0
"라플라이","제주특별자치도 제주시 조천읍 선교로 115-1",0,3.5
"뮤지엄라프","제주특별자치도 제주시 조천읍 선교로 115-1",0,4.0
"동백동산습지센터","제주특별자치도 제주시 조천읍 동백로 77",24,4.3
"자연사랑 가시리전시장","제주특별자치도 서귀포시 표선면 가시로613번길 46",1,5.0
"제주오석심공예명장관","제주특별자치도 제주시 구좌읍 비자림로 1627 1층",0,4.5
"월정아트센터","제주특별자치도 제주시 구좌읍 해맞이해안로 486",10,0.0
"제주에너지공사 CFI에너지미래관","제주특별자치도 제주시 구좌읍 해맞이해안로 712-3",14,4.0
"제주민속촌 농기구전시관","제주특별자치도 서귀포시 표선면 민속해안로 631-34",2,0.0
"고흐의정원","제주특별자치도 서귀포시 성산읍 삼달신풍로 132",72,4.7
"GS칼텍스 KT스마트그리드체험관","제주특별자치도 제주시 구좌읍 세화12길 28",0,0.0
"빛의 벙커","제주특별자치도 서귀포시 성산읍 고성리 2039-22",631,3.7
"아쿠아플라넷제주 오션아레나","제주특별자치도 서귀포시 성산읍 섭지코지로 95",2,0.0
"아쿠아플라넷제주 마린사이언스","제주특별자치도 서귀포시 성산읍 섭지코지로 93-15",1,0.0
