업소명, 주소, 리뷰
김녕에사는김영훈,제주특별자치도 제주시 구좌읍 김녕로6길 2 1층,72
도리화과,제주특별자치도 제주시 아연로 194 1층,34
에이바우트커피 정부종합청사점,제주특별자치도 제주시 청사로 79 1층,1
오르바,제주특별자치도 서귀포시 보목포로 78,124
그리트커피,제주특별자치도 제주시 인다6길 57,56
보라지붕,제주특별자치도 제주시 조천읍 함덕19길 6,159
토토네,제주특별자치도 제주시 애월읍 하귀10길 49-2 수지빌 1층 102호,53
왓섬,제주특별자치도 제주시 오등4길 3,26
망고레이 천지연폭포점,제주특별자치도 서귀포시 남성중로 2-3,23
초가헌,제주특별자치도 서귀포시 표선면 중산간동로 4628,32
안녕토르,제주특별자치도 제주시 조천읍 선진길 7-19 1층,47
미리로,제주특별자치도 제주시 테우해안로 136 2층,32
페이보리오리,제주특별자치도 서귀포시 효돈순환로 252,83
에이바우트커피 외도점,제주특별자치도 제주시 우정로 24 1층,4
아뽀밍고,제주특별자치도 서귀포시 성산읍 일출로 230,258
화수목,제주특별자치도 제주시 구좌읍 해맞이해안로 1028 1층,11
투썸플레이스 제주이도점,제주특별자치도 제주시 중앙로 286 1층,4
나비정원,제주특별자치도 서귀포시 대정읍 신영로 60-7,23
커피냅로스터스 제주,제주특별자치도 제주시 애월읍 하귀2길 45 1층,179
채색,제주특별자치도 제주시 구남동2길 15-4,34
멜버즈,제주특별자치도 제주시 한라대학로 114 골든스퀘어 1층,89
커피가게쉬고가게,제주특별자치도 서귀포시 표선면 민속해안로 593 커피가게쉬고가게,23
카페쏘해피,제주특별자치도 제주시 서광로13길 32 1층,6
커핏,제주특별자치도 서귀포시 칠십리로658번길 27-13,21
카페단단,제주특별자치도 제주시 관덕로4길 1-6,52
에이바우트커피 인제점,제주특별자치도 제주시 고마로 107,5
공설,제주특별자치도 제주시 공설로 15 1층,65
바람,제주특별자치도 제주시 516로 3041-15,14
시옽,제주특별자치도 서귀포시 동홍서로96번길 6 1층,18
카페을리,제주특별자치도 서귀포시 안덕면 병악로 90,107
오로라공주,제주특별자치도 서귀포시 안덕면 중산간서로1615번길 252-11,31
산노루,제주특별자치도 제주시 한경면 낙원로 32,221
고도,제주특별자치도 제주시 어영길 15 1층,108
컴플리트커피 노형점,제주특별자치도 제주시 노형6길 21,37
꼬라지오,제주특별자치도 서귀포시 일주동로 8777,57
위즈커피,제주특별자치도 제주시 우령2길 19-5 1층,47
