업소명, 주소, 리뷰
서귀피안베이커리,제주특별자치도 서귀포시 성산읍 신양로122번길 17 2층,343
텐저린카페,제주특별자치도 서귀포시 이어도로 880,19
스타벅스 서귀포DT,제주특별자치도 서귀포시 일주서로 11,88
롱플레이제주,제주특별자치도 제주시 구좌읍 동복로 44 1층,128
이너프,제주특별자치도 제주시 애월읍 고성8길 31 1층,297
오늘의바다,제주특별자치도 서귀포시 이어도로 990,96
랜딩커피,제주특별자치도 서귀포시 성산읍 신양로122번길 45-1 1층,124
두갓,제주특별자치도 제주시 해안마을북길 13-39 1층,187
스타벅스 제주노형점,제주특별자치도 제주시 도령로 27,80
호텔샌드,제주특별자치도 제주시 한림읍 한림로 339 1층,690
더리트리브,제주특별자치도 서귀포시 안덕면 화순로 67,156
그계절,제주특별자치도 제주시 구좌읍 한동로 119 1동,252
카페글렌코,제주특별자치도 제주시 구좌읍 비자림로 1202,217
스타벅스 제주칠성점,제주특별자치도 제주시 관덕로 55,75
스타벅스 제주송악산점,제주특별자치도 서귀포시 대정읍 형제해안로 322 1~2층,95
너와의첫여행,제주특별자치도 제주시 애월읍 장소로 16,193
서홍정원,제주특별자치도 서귀포시 솜반천로55번길 12-8,71
모모제이,제주특별자치도 제주시 인다8길 36-1 1층,46
카페브리프,제주특별자치도 제주시 애월읍 광성로 76,241
푸르곤,제주특별자치도 제주시 애월읍 납읍로 84,69
와랑와랑,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 28,101
카페그라나다,제주특별자치도 제주시 도공로 86-1,88
Pickus 피커스,제주특별자치도 제주시 아연로 444-1 2층,51
컴플리트커피 연동점,제주특별자치도 제주시 국기로4길 1,72
망고레이 섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 102,72
골목카페옥수,제주특별자치도 제주시 애월읍 소길1길 19 1층,199
스타벅스 제주협재점,제주특별자치도 제주시 한림읍 한림로 337,256
듀포레,제주특별자치도 제주시 서해안로 579 1,2층,302
시루애월,제주특별자치도 제주시 애월읍 하소로 449,74
73st,제주특별자치도 제주시 해안마을길 73,77
