14734774, 모두아식당, 음식점, 제주특별자치도 제주시 한경면 고산로 18-1, 126.17965453170706, 33.30271313733993, 음식점 > 한식,제주특별자치도 제주시 한경면 고산리 3993
1721252133, 마마포차, 음식점, 제주특별자치도 제주시 한경면 고산로 23, 126.179406951729, 33.30312443364, 음식점 > 술집 > 실내포장마차,제주특별자치도 제주시 한경면 고산리 2203-2
104673744, 성안식당, 음식점, 제주특별자치도 제주시 한경면 고산로 24, 126.179653776986, 33.3031377841212, 음식점 > 한식,제주특별자치도 제주시 한경면 고산리 2199-2
443807829, 탕도령맛집, 음식점, 제주특별자치도 제주시 한경면 고산로 25, 126.179392058598, 33.3033389151444, 음식점 > 한식,제주특별자치도 제주시 한경면 고산리 2204-4
133428142, 무명아래, 음식점, 제주특별자치도 제주시 한경면 고산로 26-1, 126.179734117088, 33.3033871549961, 음식점 > 술집 > 호프,요리주점,제주특별자치도 제주시 한경면 고산리 2210-2
2034473066, 안주맛집, 음식점, 제주특별자치도 제주시 한경면 고산로 43, 126.17921043385603, 33.30484698710653, 음식점 > 한식,제주특별자치도 제주시 한경면 고산리 2748-1
63449029, 커피&커리, 카페, 제주특별자치도 제주시 한경면 고산로 40, 126.179615036972, 33.3046377840409, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 2249-6
2108450970, 지서개식당, 음식점, 제주특별자치도 제주시 한경면 한경해안로 77, 126.17069787576624, 33.31926375399365, 음식점 > 한식 > 육류,고기,제주특별자치도 제주시 한경면 용수리 4493
830081272, 열두달, 카페, 제주특별자치도 제주시 한경면 용수길 37, 126.17032144755774, 33.32238345613287, 음식점 > 카페,제주특별자치도 제주시 한경면 용수리 4348-8
27122360, 뿌떡, 음식점, 제주특별자치도 제주시 한경면 용수1길 4, 126.17791859633785, 33.320766016251476, 음식점 > 분식 > 떡볶이,제주특별자치도 제주시 한경면 용수리 3047-1
1313144249, 클랭블루, 카페, 제주특별자치도 제주시 한경면 한경해안로 552-22, 126.177301119874, 33.3448722920323, 음식점 > 카페 > 테마카페 > 디저트카페,제주특별자치도 제주시 한경면 신창리 1293-1
1497268361, 신창해물라면와랑식탁, 음식점, 제주특별자치도 제주시 한경면 한경해안로 512-8, 126.1759331835639, 33.34321150939524, 음식점 > 분식,제주특별자치도 제주시 한경면 신창리 1317-1
762365529, 제주도민이네 라오면, 음식점, 제주특별자치도 제주시 한경면 한경해안로 563-2, 126.17881268869888, 33.34680088009916, 음식점 > 한식,제주특별자치도 제주시 한경면 신창리
20199015, 카페파람, 카페, 제주특별자치도 제주시 한경면 한경해안로 470, 126.171233164365, 33.3417845716197, 음식점 > 카페,제주특별자치도 제주시 한경면 신창리 1353-1
1356394211, 파벤토, 음식점, 제주특별자치도 제주시 한경면 한경해안로 474-20, 126.17214534276712, 33.34028680350399, 음식점 > 양식 > 이탈리안,제주특별자치도 제주시 한경면 신창리 1363-3
385616930, 풍차로가는길, 카페, 제주특별자치도 제주시 한경면 한경해안로 502-3, 126.174547566013, 33.3422917012384, 음식점 > 카페,제주특별자치도 제주시 한경면 신창리 1246-1
1254048865, 테이크타임커피로스터스, 카페, 제주특별자치도 제주시 한경면 한경해안로 552-21, 126.1769434877385, 33.34463550888098, 음식점 > 카페,제주특별자치도 제주시 한경면 신창리 1305
2074231774, 내가여기서이걸할줄몰랐다, 카페, 제주특별자치도 제주시 한경면 한경해안로 565, 126.179313537847, 33.3460865256016, 음식점 > 카페,제주특별자치도 제주시 한경면 신창리 542-9
1021562497, 골든망고 신창풍차해안본점, 카페, 제주특별자치도 제주시 한경면 한경해안로 485, 126.172125205777, 33.3430960234048, 음식점 > 카페 > 생과일전문점,제주특별자치도 제주시 한경면 신창리 1481-21
761623806, 그린구름, 카페, 제주특별자치도 제주시 한경면 한경해안로 474-22, 126.172801855963, 33.3407194333483, 음식점 > 카페 > 커피전문점,제주특별자치도 제주시 한경면 신창리 1371-3
1871068078, 파파카페테리아, 음식점, 제주특별자치도 제주시 한경면 한경해안로 474-20, 126.172145342767, 33.340286803504, 음식점,제주특별자치도 제주시 한경면 신창리 1371-19
12912040, 별위별, 카페, 제주특별자치도 제주시 한경면 한경해안로 502-3, 126.174561350812, 33.3423107262528, 음식점 > 카페,제주특별자치도 제주시 한경면 신창리 1246-1
28741599, 미쁜제과, 음식점, 제주특별자치도 서귀포시 대정읍 도원남로 16, 126.180059640842, 33.2691601160601, 음식점 > 간식 > 제과,베이커리,제주특별자치도 서귀포시 대정읍 신도리 2349-13
1113642040, 아윤, 음식점, 제주특별자치도 서귀포시 대정읍 도원중로 60, 126.18060153522, 33.2828445674317, 음식점 > 한식,제주특별자치도 서귀포시 대정읍 신도리 2106-1
1810715105, 우수수, 음식점, 제주특별자치도 서귀포시 대정읍 비자낭로 21, 126.183852577067, 33.2855437057251, 음식점 > 술집,제주특별자치도 서귀포시 대정읍 신도리 2069-2
1445399366, 별돈별 정원점, 음식점, 제주특별자치도 제주시 한경면 고산로8길 21-15, 126.180166851945, 33.3086616408909, 음식점 > 한식 > 육류,고기,제주특별자치도 제주시 한경면 고산리 2471
8672641, 강스피자, 음식점, 제주특별자치도 제주시 한경면 고락로 13, 126.18086880800385, 33.303524469938985, 음식점 > 양식 > 피자,제주특별자치도 제주시 한경면 고산리 2225
9847579, 스모프치킨 고산점, 음식점, 제주특별자치도 제주시 한경면 고락로 13-1, 126.181031205074, 33.3034957876889, 음식점 > 치킨,제주특별자치도 제주시 한경면 고산리 2226
693572114, 에피소드, 카페, 제주특별자치도 제주시 한경면 고조로 62, 126.188081251626, 33.3059159565171, 음식점 > 카페,제주특별자치도 제주시 한경면 고산리 2115-5
21460945, 가자고산중화요리, 음식점, 제주특별자치도 제주시 한경면 용고로 76, 126.180397573403, 33.3005271613446, 음식점 > 중식 > 중국요리,제주특별자치도 제주시 한경면 고산리 2919-14
1529120192, 쓰쓰카페, 카페, 제주특별자치도 제주시 한경면 성굴로 34-6, 126.18370060863, 33.3382643879165, 음식점 > 카페 > 커피전문점,제주특별자치도 제주시 한경면 신창리 1054-4
749140776, 채훈이네해장국, 음식점, 제주특별자치도 제주시 한경면 두신로 69, 126.182565396173, 33.3494005804094, 음식점 > 한식 > 해장국,제주특별자치도 제주시 한경면 신창리 327-2
1947663934, 3인칭관찰자시점, 카페, 제주특별자치도 제주시 한경면 신창7길 24, 126.181199970183, 33.3497486139127, 음식점 > 카페,제주특별자치도 제주시 한경면 신창리 301
27526134, 중국집마씸, 음식점, 제주특별자치도 제주시 한경면 두신로 78, 126.18314534845018, 33.34987682986154, 음식점 > 중식,제주특별자치도 제주시 한경면 신창리 261-3
